,episode,actions,rewards
538,538,4,-1102.0
539,539,1,-1000.0
540,540,1,-1000.0
541,541,2,-1001.0
542,542,11,-1208.0
543,543,2,-1001.0
544,544,4,-1003.0
545,545,22,-1219.0
546,546,1,-1000.0
547,547,9,-1206.0
548,548,5,-1004.0
549,549,1,-1000.0
550,550,1,-1000.0
551,551,3,-1002.0
552,552,14,-1211.0
553,553,1,-1000.0
554,554,5,-1004.0
555,555,3,-1002.0
556,556,3,-1002.0
557,557,36,-1233.0
558,558,2,-1001.0
559,559,4,-1201.0
560,560,5,-1004.0
561,561,11,-1208.0
562,562,7,-1105.0
563,563,1,-1000.0
564,564,1,-1000.0
565,565,1,-1000.0
566,566,3,-1101.0
567,567,4,-1003.0
568,568,1,-1000.0
569,569,3,-1002.0
570,570,6,-1104.0
571,571,29,-1424.0
572,572,1,-1000.0
573,573,2,-1001.0
574,574,1,-1000.0
575,575,61,-2248.0
576,576,1,-1000.0
577,577,4,-1201.0
578,578,8,-1304.0
579,579,1,-1000.0
580,580,2,-1001.0
581,581,1,-1000.0
582,582,7,-1006.0
583,583,2,-1100.0
584,584,14,-1112.0
585,585,3,-1002.0
586,586,1,-1000.0
587,587,2,-1001.0
588,588,4,-1003.0
589,589,4,-1102.0
590,590,1,-1000.0
591,591,2,-1001.0
592,592,7,-1303.0
593,593,5,-1103.0
594,594,16,-1114.0
595,595,1,-1000.0
596,596,13,-1210.0
597,597,3,-1101.0
598,598,19,-1315.0
599,599,3,-1002.0
600,600,2,-1001.0
601,601,2,-1100.0
602,602,1,-1000.0
603,603,10,-1108.0
604,604,1,-1000.0
605,605,4,-1102.0
606,606,11,-1208.0
607,607,7,-1006.0
608,608,2,-1001.0
609,609,3,-1101.0
610,610,1,-1000.0
611,611,1,-1000.0
612,612,3,-1101.0
613,613,2,-1001.0
614,614,1,-1000.0
615,615,1,-1000.0
616,616,3,-1002.0
617,617,4,-1003.0
618,618,1,-1000.0
619,619,1,-1000.0
620,620,3,-1101.0
621,621,7,-1006.0
622,622,1,-1000.0
623,623,2,-1001.0
624,624,1,-1000.0
625,625,3,-1101.0
626,626,3,-1101.0
627,627,1,-1000.0
628,628,7,-1105.0
629,629,6,-1104.0
630,630,1,-1000.0
631,631,6,-1005.0
632,632,2,-1100.0
633,633,1,-1000.0
634,634,2,-1100.0
635,635,1,-1000.0
636,636,1,-1000.0
637,637,2,-1100.0
638,638,2,-1001.0
639,639,3,-1101.0
640,640,1,-1000.0
641,641,6,-1005.0
642,642,6,-1005.0
643,643,1,-1000.0
644,644,7,-1105.0
645,645,4,-1003.0
646,646,2,-1100.0
647,647,3,-1101.0
648,648,2,-1001.0
649,649,1,-1000.0
650,650,1,-1000.0
651,651,10,-1207.0
652,652,2,-1001.0
653,653,4,-1102.0
654,654,1,-1000.0
655,655,5,-1103.0
656,656,1,-1000.0
657,657,1,-1000.0
658,658,65,-2054.0
659,659,1,-1000.0
660,660,5,-1103.0
661,661,1,-1000.0
662,662,3,-1002.0
663,663,74,-1667.0
664,664,2,-1001.0
665,665,3,-1002.0
666,666,3,-1002.0
667,667,1,-1000.0
668,668,2,-1001.0
669,669,1,-1000.0
670,670,3,-1101.0
671,671,3,-1101.0
672,672,2,-1001.0
673,673,3,-1101.0
674,674,7,-1105.0
675,675,1,-1000.0
676,676,1,-1000.0
677,677,1,-1000.0
678,678,5,-1103.0
679,679,2,-1001.0
680,680,2,-1001.0
681,681,7,-1105.0
682,682,22,-1516.0
683,683,6,-1005.0
684,684,2,-1001.0
685,685,2,-1001.0
686,686,1,-1000.0
687,687,1,-1000.0
688,688,5,-1004.0
689,689,75,-2559.0
690,690,62,-1853.0
691,691,1,-1000.0
692,692,5,-1103.0
693,693,1,-1000.0
694,694,2,-1001.0
695,695,2,-1001.0
696,696,2,-1001.0
697,697,1,-1000.0
698,698,2,-1001.0
699,699,8,-1304.0
700,700,2,-1001.0
701,701,1,-1000.0
702,702,8,-1106.0
703,703,4,-1003.0
704,704,1,-1000.0
705,705,1,-1000.0
706,706,6,-1302.0
707,707,1,-1000.0
708,708,1,-1000.0
709,709,2,-1001.0
710,710,5,-1004.0
711,711,1,-1000.0
712,712,2,-1100.0
713,713,1,-1000.0
714,714,1,-1000.0
715,715,3,-1200.0
716,716,4,-1102.0
717,717,1,-1000.0
718,718,4,-1003.0
719,719,1,-1000.0
720,720,2,-1001.0
721,721,4,-1003.0
722,722,60,-2445.0
723,723,2,-1100.0
724,724,4,-1102.0
725,725,2,-1100.0
726,726,3,-1101.0
727,727,3,-1101.0
728,728,3,-1101.0
729,729,2,-1001.0
730,730,4,-1003.0
731,731,9,-1206.0
732,732,2,-1001.0
733,733,3,-1101.0
734,734,6,-1302.0
735,735,5,-1103.0
736,736,8,-1502.0
737,737,1,-1000.0
738,738,5,-1004.0
739,739,1,-1000.0
740,740,1,-1000.0
741,741,8,-1205.0
742,742,8,-1205.0
743,743,9,-1206.0
744,744,3,-1002.0
745,745,2,-1001.0
746,746,4,-1003.0
747,747,1,-1000.0
748,748,3,-1002.0
749,749,1,-1000.0
750,750,2,-1100.0
751,751,4,-1201.0
752,752,1,-1000.0
753,753,3,-1101.0
754,754,8,-1304.0
755,755,7,-1105.0
756,756,4,-1102.0
757,757,3,-1002.0
758,758,40,-1732.0
759,759,9,-1107.0
760,760,1,-1000.0
761,761,8,-1007.0
762,762,3,-1002.0
763,763,1,-1000.0
764,764,3,-1002.0
765,765,10,-1306.0
766,766,1,-1000.0
767,767,3,-1002.0
768,768,4,-1003.0
769,769,16,-1114.0
770,770,11,-1010.0
771,771,3,-1101.0
772,772,1,-1000.0
773,773,15,-1212.0
774,774,1,-1000.0
775,775,1,-1000.0
776,776,3,-1002.0
777,777,2,-1001.0
778,778,5,-1103.0
779,779,1,-1000.0
780,780,1,-1000.0
781,781,1,-1000.0
782,782,7,-1204.0
783,783,2,-1001.0
784,784,26,-1817.0
785,785,1,-1000.0
786,786,4,-1201.0
787,787,26,-1817.0
788,788,17,-1115.0
789,789,5,-1004.0
790,790,7,-1006.0
791,791,1,-1000.0
792,792,1,-1000.0
793,793,31,-1525.0
794,794,2,-1001.0
795,795,5,-1004.0
796,796,1,-1000.0
797,797,15,-1212.0
798,798,2,-1001.0
799,799,4,-1003.0
800,800,1,-1000.0
801,801,2,-1001.0
802,802,1,-1000.0
803,803,1,-1000.0
804,804,3,-1002.0
805,805,6,-1203.0
806,806,19,-1216.0
807,807,1,-1000.0
808,808,4,-1003.0
809,809,23,-1220.0
810,810,10,-1108.0
811,811,5,-1004.0
812,812,6,-1203.0
813,813,5,-1004.0
814,814,2,-1100.0
815,815,6,-1005.0
816,816,2,-1001.0
817,817,6,-1104.0
818,818,11,-1010.0
819,819,32,-1625.0
820,820,1,-1000.0
821,821,1,-1000.0
822,822,1,-1000.0
823,823,5,-1103.0
824,824,5,-1202.0
825,825,1,-1000.0
826,826,1,-1000.0
827,827,5,-1202.0
828,828,17,-1214.0
829,829,2,-1100.0
830,830,2,-1001.0
831,831,3,-1002.0
832,832,4,-1003.0
833,833,4,-1003.0
834,834,1,-1000.0
835,835,4,-1102.0
836,836,1,-1000.0
837,837,1,-1000.0
838,838,7,-1105.0
839,839,3,-1101.0
840,840,3,-1200.0
841,841,3,-1101.0
842,842,1,-1000.0
843,843,1,-1000.0
844,844,16,-1312.0
845,845,1,-1000.0
846,846,3,-1101.0
847,847,36,-1629.0
848,848,1,-1000.0
849,849,1,-1000.0
850,850,2,-1001.0
851,851,5,-1103.0
852,852,1,-1000.0
